Num,lat,lon,value,MAT,MAT_season,MAP,MAP_season,AI,AET,VPD,srad,tmax,tmin,CEC,BD,pH,Sand,Silt,Clay,SWC,SOC,TN,TP,MBC,MBN,FB_ratio,NPP,BNPP,NDVI,Ndep,LDMC,SLA_MODIS,LNC_MODIS,LPC_MODIS,Vcmax,fLNR,EM_tree,AM_tree
18,35.96666667,101.0147222,33.78788,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
19,35.96666667,101.0147222,39.2676775,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
20,35.96666667,101.0147222,23.40909,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
21,35.96666667,101.0147222,20.2272725,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
22,35.96666667,101.0147222,17.146465,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
23,35.96666667,101.0147222,29.444445,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
24,35.96666667,101.0147222,0.656565,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
25,35.96666667,101.0147222,9.39394,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
26,35.96666667,101.0147222,13.700495,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
27,35.96666667,101.0147222,21.9183175,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
28,35.96666667,101.0147222,17.43812,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
29,35.96666667,101.0147222,13.4653475,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
30,35.96666667,101.0147222,9.257425,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
31,35.96666667,101.0147222,8.044555,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
32,35.96666667,101.0147222,26.497525,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
33,35.96666667,101.0147222,4.20792,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
34,35.96666667,101.0147222,2.153465,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
35,35.96666667,101.0147222,2.4257425,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
36,35.96666667,101.0147222,8.68812,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
37,35.96666667,101.0147222,8.1806925,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
38,35.96666667,101.0147222,16.9306925,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
39,35.96666667,101.0147222,7.3762375,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
