Num,lat,lon,site_mean,MAT,MAT_season,MAP,MAP_season,AI,AET,VPD,srad,tmax,tmin,CEC,BD,pH,Sand,Silt,Clay,SWC,SOC,TN,TP,MBC,MBN,FB_ratio,NPP,BNPP,NDVI,Ndep,LDMC,SLA_MODIS,LNC_MODIS,LPC_MODIS,Vcmax,fLNR,EM_tree,AM_tree
173,33.08,-115.9,23,21.83399,646.5902,71,58.95674,296,NaN,2.05,223.0583,30.31667,14.08333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.1463,5.02184,0.102525,0,NaN,NaN,0.03155535,0.2531936,11.94561,NaN,NaN,NaN,NaN,0.658193,0.1604859
174,42,-72,35,8.951396,897.4689,1264,7.983246,11626,717.0424,0.4833333,154.7833,15.175,4.266667,0.1884,1.16,5.2,69,24,7,24,50.2,4.3,700,155.311,21.8611,NaN,12155,1.068607,0.623,0.104728,0.3255635,13.92954,17.37531,1.296918,54.59417,12.65225,0.6643387,0.3325164
175,-5.43,38.47,4,23.42156,175.4654,898,68.18032,6298,961.0119,0.85,172.05,29.175,18.34167,0.0931,1.36,5.6,54,10,36,33,12.3,1,NaN,75.1629,7.29279,0.1500209,9381,0.8375222,0.613,0.01539963,0.3002193,15.71588,17.49682,1.295533,70.24923,27.80318,0.08952144,0.6857902
176,8.24,-83.2,1.938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0.0155553,NaN,NaN,NaN,NaN,NaN,NaN,0.03502596,0.8543217
177,10.42,-84.02,4.126666667,18.80812,66.84582,3476,38.33174,24262,1213.772,0.3333333,217.6333,20.975,12.28333,0.2743,0.69,5.3,20,23,57,55,64.4,4.7,1000,193.6,31.4763,0.1520744,11048,1.895769,0.759,0.01478131,0.328022,9.985862,16.46681,1.351795,58.47242,18.29011,0.04613392,0.8115695
178,32.4,-84.79,0.88,17.61992,694.1311,1259,22.99465,8174,769.6246,0.8833333,187.1583,24.675,11.75,0.0546,1.56,5.3,88,9,4,18,5.5,0.9,300,32.0145,6.9539,0.1485032,7395,1.726394,0.712,0.09110714,0.3322767,14.24912,17.69006,1.200986,52.14507,16.32074,0.7214785,0.2568401
179,30.47,-86.55,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0.03097997,NaN,NaN,NaN,NaN,NaN,NaN,0.6783589,0.3125456
180,35.05,-83.43,10,11.69614,711.5205,1733,10.4763,15756,676.2429,0.4916667,176.075,17.36667,5.15,0.126,1.45,5.4,51,35,14,24,23.2,2.3,600,80.645,15.5949,0.126434,5375,1.786327,0.675,0.0887213,0.3266346,14.07509,17.60918,1.468983,60.71732,14.88717,0.5737348,0.3862002
181,37.36,101.19,10,-2.056167,839.6306,505,99.57055,5038,437.1815,0.2166667,174.1083,1.166667,-11.075,0.1476,1.25,6.7,43,42,15,34,36.1,3.9,800,194.858,16.8791,0.1679356,2530,1.56138,0.252,0.0428123,0.2588362,12.25435,17.28134,1.456094,112.0044,35.737,0.9889953,0.01351052
182,49.22,120.01,11.5,-1.917448,1655.669,379,120.2139,4058,424.8062,0.4166667,160.6583,4.725,-7.908333,0.1415,1.17,8.2,37,43,21,36,10.7,1.4,300,144.611,13.7777,0.1884564,2941,1.503688,0.285,0.09276414,0.2449016,13.88508,10.79626,1.598159,73.81639,27.23984,0.9346072,0.05738962
